RegionName	,Type of adjustment	,Measure	,Year	,Mean	,RSD	,RMD	,m_obs
EU27	,Raw	,PBCA	,1960	,2.639453e+03	,0	,0	,1
EU27	,Raw	,PBCA	,1961	,2.733389e+03	,0	,0	,1
EU27	,Raw	,PBCA	,1962	,2.892034e+03	,0	,0	,1
EU27	,Raw	,PBCA	,1963	,3.089248e+03	,0	,0	,1
EU27	,Raw	,PBCA	,1964	,3.203463e+03	,0	,0	,1
EU27	,Raw	,PBCA	,1965	,3.261235e+03	,0	,0	,1
EU27	,Raw	,PBCA	,1966	,3.316394e+03	,0	,0	,1
EU27	,Raw	,PBCA	,1967	,3.351614e+03	,0	,0	,1
EU27	,Raw	,PBCA	,1968	,3.537186e+03	,0	,0	,1
EU27	,Raw	,PBCA	,1969	,3.760061e+03	,0	,0	,1
EU27	,Raw	,PBCA	,1970	,4.087391e+03	,5.493422e-02	,3.884436e-02	,2
EU27	,Raw	,PBCA	,1971	,4.127730e+03	,3.738903e-02	,2.643804e-02	,2
EU27	,Raw	,PBCA	,1972	,4.244691e+03	,3.688471e-02	,2.608143e-02	,2
EU27	,Raw	,PBCA	,1973	,4.450685e+03	,3.943358e-02	,2.788375e-02	,2
EU27	,Raw	,PBCA	,1974	,4.359702e+03	,3.092275e-02	,2.186568e-02	,2
EU27	,Raw	,PBCA	,1975	,4.251730e+03	,2.981835e-02	,2.108476e-02	,2
EU27	,Raw	,PBCA	,1976	,4.522432e+03	,2.289886e-02	,1.619194e-02	,2
EU27	,Raw	,PBCA	,1977	,4.496663e+03	,2.794288e-02	,1.975860e-02	,2
EU27	,Raw	,PBCA	,1978	,4.622666e+03	,2.561840e-02	,1.811495e-02	,2
EU27	,Raw	,PBCA	,1979	,4.798684e+03	,2.710373e-02	,1.916523e-02	,2
EU27	,Raw	,PBCA	,1980	,4.677180e+03	,2.284753e-02	,1.615564e-02	,2
EU27	,Raw	,PBCA	,1981	,4.461058e+03	,2.911282e-02	,2.058587e-02	,2
EU27	,Raw	,PBCA	,1982	,4.350929e+03	,2.716651e-02	,1.920962e-02	,2
EU27	,Raw	,PBCA	,1983	,4.310190e+03	,2.864398e-02	,2.025435e-02	,2
EU27	,Raw	,PBCA	,1984	,4.323837e+03	,2.906896e-02	,2.055486e-02	,2
EU27	,Raw	,PBCA	,1985	,4.388409e+03	,2.157977e-02	,1.525920e-02	,2
EU27	,Raw	,PBCA	,1986	,4.398569e+03	,2.528830e-02	,1.788153e-02	,2
EU27	,Raw	,PBCA	,1987	,4.442798e+03	,2.582186e-02	,1.825881e-02	,2
EU27	,Raw	,PBCA	,1988	,4.416717e+03	,3.200014e-02	,2.262752e-02	,2
EU27	,Raw	,PBCA	,1989	,4.445391e+03	,2.228211e-02	,1.575583e-02	,2
EU27	,Raw	,PBCA	,1990	,4.408260e+03	,1.527904e-02	,1.080391e-02	,2
EU27	,Raw	,PBCA	,1991	,4.359570e+03	,1.497078e-02	,1.058594e-02	,2
EU27	,Raw	,PBCA	,1992	,4.207833e+03	,1.831452e-02	,1.295032e-02	,2
EU27	,Raw	,PBCA	,1993	,4.118105e+03	,2.052411e-02	,1.451274e-02	,2
EU27	,Raw	,PBCA	,1994	,4.101174e+03	,1.964324e-02	,1.388987e-02	,2
EU27	,Raw	,PBCA	,1995	,4.080224e+03	,4.041859e-02	,4.042915e-02	,5
EU27	,Raw	,PBCA	,1996	,4.194458e+03	,3.921583e-02	,3.943546e-02	,5
EU27	,Raw	,PBCA	,1997	,4.108245e+03	,4.037774e-02	,4.074275e-02	,5
EU27	,Raw	,PBCA	,1998	,4.110248e+03	,3.976978e-02	,4.013900e-02	,5
EU27	,Raw	,PBCA	,1999	,4.050675e+03	,4.189302e-02	,4.225919e-02	,5
EU27	,Raw	,PBCA	,2000	,4.042712e+03	,3.379216e-02	,3.297639e-02	,5
EU27	,Raw	,PBCA	,2001	,4.114166e+03	,3.117586e-02	,3.035534e-02	,5
EU27	,Raw	,PBCA	,2002	,4.089120e+03	,3.205883e-02	,3.124605e-02	,5
EU27	,Raw	,PBCA	,2003	,4.183863e+03	,2.992474e-02	,2.933030e-02	,5
EU27	,Raw	,PBCA	,2004	,4.208434e+03	,3.434232e-02	,3.399860e-02	,5
EU27	,Raw	,PBCA	,2005	,4.192267e+03	,3.563371e-02	,3.543280e-02	,5
EU27	,Raw	,PBCA	,2006	,4.203205e+03	,3.695639e-02	,3.704509e-02	,5
EU27	,Raw	,PBCA	,2007	,4.158879e+03	,3.856948e-02	,3.867763e-02	,5
EU27	,Raw	,PBCA	,2008	,4.075493e+03	,3.836169e-02	,3.812438e-02	,5
EU27	,Raw	,PBCA	,2009	,3.770160e+03	,3.964459e-02	,3.821330e-02	,5
EU27	,Raw	,PBCA	,2010	,3.888734e+03	,4.619080e-02	,4.404533e-02	,4
EU27	,Raw	,PBCA	,2011	,3.748511e+03	,4.641249e-02	,4.419537e-02	,4
EU27	,Raw	,PBCA	,2012	,3.771187e+03	,2.823071e-02	,2.349438e-02	,3
EU27	,Raw	,PBCA	,2013	,3.683780e+03	,3.029696e-02	,2.537785e-02	,3
EU27	,Raw	,PBCA	,2014	,3.505074e+03	,3.459989e-02	,2.991352e-02	,3
EU27	,Raw	,PBCA	,2015	,3.551118e+03	,3.686249e-02	,3.123850e-02	,3
EU27	,Raw	,PBCA	,2016	,3.593173e+03	,4.264994e-02	,3.015806e-02	,2
EU15	,Raw	,PBCA	,1960	,2.156818e+03	,0	,0	,1
EU15	,Raw	,PBCA	,1961	,2.221394e+03	,0	,0	,1
EU15	,Raw	,PBCA	,1962	,2.345402e+03	,0	,0	,1
EU15	,Raw	,PBCA	,1963	,2.502633e+03	,0	,0	,1
EU15	,Raw	,PBCA	,1964	,2.578657e+03	,0	,0	,1
EU15	,Raw	,PBCA	,1965	,2.625397e+03	,0	,0	,1
EU15	,Raw	,PBCA	,1966	,2.665809e+03	,0	,0	,1
EU15	,Raw	,PBCA	,1967	,2.681429e+03	,0	,0	,1
EU15	,Raw	,PBCA	,1968	,2.826249e+03	,0	,0	,1
EU15	,Raw	,PBCA	,1969	,2.999797e+03	,0	,0	,1
EU15	,Raw	,PBCA	,1970	,3.226140e+03	,4.808196e-02	,3.399908e-02	,2
EU15	,Raw	,PBCA	,1971	,3.246196e+03	,3.047999e-02	,2.155261e-02	,2
EU15	,Raw	,PBCA	,1972	,3.334755e+03	,3.085634e-02	,2.181873e-02	,2
EU15	,Raw	,PBCA	,1973	,3.505348e+03	,3.239761e-02	,2.290857e-02	,2
EU15	,Raw	,PBCA	,1974	,3.408801e+03	,2.896823e-02	,2.048363e-02	,2
EU15	,Raw	,PBCA	,1975	,3.248818e+03	,2.971343e-02	,2.101057e-02	,2
EU15	,Raw	,PBCA	,1976	,3.468442e+03	,2.167424e-02	,1.532600e-02	,2
EU15	,Raw	,PBCA	,1977	,3.400325e+03	,2.696735e-02	,1.906880e-02	,2
EU15	,Raw	,PBCA	,1978	,3.480551e+03	,2.376768e-02	,1.680629e-02	,2
EU15	,Raw	,PBCA	,1979	,3.644082e+03	,2.245304e-02	,1.587670e-02	,2
EU15	,Raw	,PBCA	,1980	,3.504552e+03	,2.025863e-02	,1.432502e-02	,2
EU15	,Raw	,PBCA	,1981	,3.334804e+03	,2.542681e-02	,1.797947e-02	,2
EU15	,Raw	,PBCA	,1982	,3.212932e+03	,2.526197e-02	,1.786291e-02	,2
EU15	,Raw	,PBCA	,1983	,3.167998e+03	,2.954974e-02	,2.089482e-02	,2
EU15	,Raw	,PBCA	,1984	,3.169173e+03	,2.858028e-02	,2.020931e-02	,2
EU15	,Raw	,PBCA	,1985	,3.222369e+03	,2.063920e-02	,1.459412e-02	,2
EU15	,Raw	,PBCA	,1986	,3.216564e+03	,2.655974e-02	,1.878057e-02	,2
EU15	,Raw	,PBCA	,1987	,3.235349e+03	,2.714147e-02	,1.919191e-02	,2
EU15	,Raw	,PBCA	,1988	,3.230331e+03	,3.127308e-02	,2.211341e-02	,2
EU15	,Raw	,PBCA	,1989	,3.292383e+03	,1.828371e-02	,1.292854e-02	,2
EU15	,Raw	,PBCA	,1990	,3.363333e+03	,2.212124e-02	,1.564208e-02	,2
EU15	,Raw	,PBCA	,1991	,3.399797e+03	,2.013969e-02	,1.424091e-02	,2
EU15	,Raw	,PBCA	,1992	,3.320740e+03	,2.270330e-02	,1.605366e-02	,2
EU15	,Raw	,PBCA	,1993	,3.261861e+03	,2.358911e-02	,1.668002e-02	,2
EU15	,Raw	,PBCA	,1994	,3.265391e+03	,2.212506e-02	,1.564478e-02	,2
EU15	,Raw	,PBCA	,1995	,3.261316e+03	,4.213128e-02	,4.233323e-02	,5
EU15	,Raw	,PBCA	,1996	,3.351021e+03	,4.128616e-02	,4.151106e-02	,5
EU15	,Raw	,PBCA	,1997	,3.292157e+03	,4.253757e-02	,4.254143e-02	,5
EU15	,Raw	,PBCA	,1998	,3.345090e+03	,4.141448e-02	,4.121228e-02	,5
EU15	,Raw	,PBCA	,1999	,3.326923e+03	,4.406630e-02	,4.369717e-02	,5
EU15	,Raw	,PBCA	,2000	,3.328375e+03	,3.470603e-02	,3.349774e-02	,5
EU15	,Raw	,PBCA	,2001	,3.388323e+03	,3.215200e-02	,3.012843e-02	,5
EU15	,Raw	,PBCA	,2002	,3.379928e+03	,3.265033e-02	,3.074041e-02	,5
EU15	,Raw	,PBCA	,2003	,3.445326e+03	,3.020259e-02	,2.853323e-02	,5
EU15	,Raw	,PBCA	,2004	,3.468906e+03	,3.603200e-02	,3.549363e-02	,5
EU15	,Raw	,PBCA	,2005	,3.455744e+03	,3.821892e-02	,3.745645e-02	,5
EU15	,Raw	,PBCA	,2006	,3.449744e+03	,3.937062e-02	,3.835637e-02	,5
EU15	,Raw	,PBCA	,2007	,3.398481e+03	,4.116695e-02	,3.994188e-02	,5
EU15	,Raw	,PBCA	,2008	,3.332460e+03	,4.161850e-02	,4.006405e-02	,5
EU15	,Raw	,PBCA	,2009	,3.083351e+03	,4.479399e-02	,4.389032e-02	,5
EU15	,Raw	,PBCA	,2010	,3.167377e+03	,5.264590e-02	,5.017153e-02	,4
EU15	,Raw	,PBCA	,2011	,3.026085e+03	,5.338995e-02	,5.059061e-02	,4
EU15	,Raw	,PBCA	,2012	,3.056986e+03	,4.122477e-02	,3.467486e-02	,3
EU15	,Raw	,PBCA	,2013	,2.997375e+03	,4.305714e-02	,3.638622e-02	,3
EU15	,Raw	,PBCA	,2014	,2.836279e+03	,4.884897e-02	,4.224302e-02	,3
EU15	,Raw	,PBCA	,2015	,2.873118e+03	,5.317211e-02	,4.547070e-02	,3
EU15	,Raw	,PBCA	,2016	,2.914042e+03	,5.870608e-02	,4.151147e-02	,2
OECD	,Raw	,PBCA	,1960	,5.871741e+03	,0	,0	,1
OECD	,Raw	,PBCA	,1961	,6.000435e+03	,0	,0	,1
OECD	,Raw	,PBCA	,1962	,6.278978e+03	,0	,0	,1
OECD	,Raw	,PBCA	,1963	,6.638183e+03	,0	,0	,1
OECD	,Raw	,PBCA	,1964	,6.946020e+03	,0	,0	,1
OECD	,Raw	,PBCA	,1965	,7.184651e+03	,0	,0	,1
OECD	,Raw	,PBCA	,1966	,7.454431e+03	,0	,0	,1
