Region membership,,,,,,
country_id,region_id,region_type,region_type_id,region_name,a3,name
533,1001,GDP Regions,1,High Income,ABW,Aruba
660,1001,GDP Regions,1,High Income,AIA,Anguilla
248,1001,GDP Regions,1,High Income,ALA,Aland Islands
20,1001,GDP Regions,1,High Income,AND,Andorra
528,1001,GDP Regions,1,High Income,ANT,Netherlands Antilles
804,1001,GDP Regions,1,High Income,ARE,UAE
36,1001,GDP Regions,1,High Income,AUS,Australia
40,1001,GDP Regions,1,High Income,AUT,Austria
56,1001,GDP Regions,1,High Income,BEL,Belgium
48,1001,GDP Regions,1,High Income,BHR,Bahrain
44,1001,GDP Regions,1,High Income,BHS,Bahamas
646,1001,GDP Regions,1,High Income,BLM,Saint-Barthelemy
60,1001,GDP Regions,1,High Income,BMU,Bermuda
52,1001,GDP Regions,1,High Income,BRB,Barbados
96,1001,GDP Regions,1,High Income,BRN,Brunei
124,1001,GDP Regions,1,High Income,CAN,Canada
752,1001,GDP Regions,1,High Income,CHE,Switzerland
178,1001,GDP Regions,1,High Income,COK,Cook Islands
136,1001,GDP Regions,1,High Income,CYM,Cayman Islands
192,1001,GDP Regions,1,High Income,CYP,Cyprus
196,1001,GDP Regions,1,High Income,CZE,Czech Republic
268,1001,GDP Regions,1,High Income,DEU,Germany
180,1001,GDP Regions,1,High Income,DNK,Denmark
710,1001,GDP Regions,1,High Income,ESP,Spain
232,1001,GDP Regions,1,High Income,EST,Estonia
242,1001,GDP Regions,1,High Income,FIN,Finland
234,1001,GDP Regions,1,High Income,FLK,Falkland Islands
246,1001,GDP Regions,1,High Income,FRA,France
231,1001,GDP Regions,1,High Income,FRO,Faeroe Islands
784,1001,GDP Regions,1,High Income,GBR,UK
320,1001,GDP Regions,1,High Income,GGY,Guernsey
288,1001,GDP Regions,1,High Income,GIB,Gibraltar
222,1001,GDP Regions,1,High Income,GNQ,Equatorial Guinea
292,1001,GDP Regions,1,High Income,GRC,Greece
300,1001,GDP Regions,1,High Income,GRL,Greenland
312,1001,GDP Regions,1,High Income,GUM,Guam
156,1001,GDP Regions,1,High Income,HKG,Hong Kong
384,1001,GDP Regions,1,High Income,HRV,Croatia
340,1001,GDP Regions,1,High Income,HUN,Hungary
372,1001,GDP Regions,1,High Income,IMN,Isle of Man
368,1001,GDP Regions,1,High Income,IRL,Ireland
348,1001,GDP Regions,1,High Income,ISL,Iceland
833,1001,GDP Regions,1,High Income,ISR,Israel
376,1001,GDP Regions,1,High Income,ITA,Italy
392,1001,GDP Regions,1,High Income,JEY,Jersey
388,1001,GDP Regions,1,High Income,JPN,Japan
634,1001,GDP Regions,1,High Income,KOR,South Korea
296,1001,GDP Regions,1,High Income,KWT,Kuwait
434,1001,GDP Regions,1,High Income,LIE,Liechtenstein
440,1001,GDP Regions,1,High Income,LUX,Luxembourg
418,1001,GDP Regions,1,High Income,LVA,Latvia
344,1001,GDP Regions,1,High Income,MAC,Macao SAR
662,1001,GDP Regions,1,High Income,MAF,Saint-Martin (French part)
583,1001,GDP Regions,1,High Income,MCO,Monaco
466,1001,GDP Regions,1,High Income,MLT,Malta
574,1001,GDP Regions,1,High Income,MNP,Northern Mariana Islands
584,1001,GDP Regions,1,High Income,MTQ,Martinique
530,1001,GDP Regions,1,High Income,NCL,New Caledonia
524,1001,GDP Regions,1,High Income,NLD,Netherlands
580,1001,GDP Regions,1,High Income,NOR,Norway
540,1001,GDP Regions,1,High Income,NZL,New Zealand
275,1001,GDP Regions,1,High Income,OMN,Oman
